"participant"	"rhymeTarget"	"item"	"coupletOrder"	"conditionLabel"	"vowelFirst"	"durationVowelFirst"	"vowelSecond"	"durationVowelSecond"	"rhymeRating"	"question"	"poa"	"manner"	"rhymeMatch"	"rhymeText"	"cohortSize"	"trial"	"file"
"19"	"1123"	"badge"	"24"	"VoicedFirst"	"voice"	"AE1"	0.23	"AE1"	0.04	6	"Please rate this couplet based on how acceptable you find the rhyme at the end of the line, \n with 1=totally Unacceptable (not a rhyme at all) and 7=totally acceptable (a good rhyme)."	"coronal"	"affricate"	"catch"	"And hope to wear them as a badge \nWhat happy songs and joy we catch"	2	26	"hrlaura4_1123_24_2.wav"
"20"	"870"	"badge"	"24"	"VoicedFirst"	"voice"	"AE1"	0.25	"AE1"	0.14	1	"Please rate this couplet based on how acceptable you find the rhyme at the end of the line, \n with 1=totally Unacceptable (not a rhyme at all) and 7=totally acceptable (a good rhyme)."	"coronal"	"affricate"	"catch"	"And hope to wear them as a badge \nWhat happy songs and joy we catch"	2	69	"hrlaura4_870_24_2.wav"
"21"	"1136"	"badge"	"24"	"VoicedFirst"	"voice"	"AE1"	0.23	"AE1"	0.07	2	"Please rate this couplet based on how acceptable you find the rhyme at the end of the line, with 1=totally Unacceptable (not a rhyme at all) and 7=totally acceptable (a good rhyme)."	"coronal"	"affricate"	"catch"	"And hope to wear them as a badge \nWhat happy songs and joy we catch"	2	52	"hrlaura4_1136_24_2.wav"
"22"	"1134"	"badge"	"24"	"VoicedFirst"	"voice"	"AE1"	0.33	"AE1"	0.18	2	"Please rate this couplet based on how acceptable you find the rhyme at the end of the line, with 1=totally Unacceptable (not a rhyme at all) and 7=totally acceptable (a good rhyme)."	"coronal"	"affricate"	"catch"	"And hope to wear them as a badge \nWhat happy songs and joy we catch"	2	29	"hrlaura4_1134_24_2.wav"
"23"	"970"	"badge"	"24"	"VoicedFirst"	"voice"	"AE1"	0.23	"AE1"	0.15	6	"Please rate this couplet based on how acceptable you find the rhyme at the end of the line, \n with 1=totally Unacceptable (not a rhyme at all) and 7=totally acceptable (a good rhyme)."	"coronal"	"affricate"	"catch"	"And hope to wear them as a badge \nWhat happy songs and joy we catch"	2	78	"hrlaura4_970_24_2.wav"
"24"	"336"	"badge"	"24"	"VoicedFirst"	"voice"	"AE1"	0.29	"AE1"	0.2	5	"Please rate this couplet based on how acceptable you find the rhyme at the end of the line, \n with 1=totally Unacceptable (not a rhyme at all) and 7=totally acceptable (a good rhyme)."	"coronal"	"affricate"	"catch"	"And hope to wear them as a badge \nWhat happy songs and joy we catch"	2	33	"hrlaura4_336_24_2.wav"
"25"	"1153"	"badge"	"24"	"VoicedFirst"	"voice"	"AE1"	0.27	"AE1"	0.16	2	"Please rate this couplet based on how acceptable you find the rhyme at the end of the line, \n with 1=totally Unacceptable (not a rhyme at all) and 7=totally acceptable (a good rhyme)."	"coronal"	"affricate"	"catch"	"And hope to wear them as a badge \nWhat happy songs and joy we catch"	2	14	"hrlaura4_1153_24_2.wav"
"26"	"944"	"badge"	"24"	"VoicedFirst"	"voice"	"AE1"	0.25	"AE1"	0.06	2	"Please rate this couplet based on how acceptable you find the rhyme at the end of the line, with 1=totally Unacceptable (not a rhyme at all) and 7=totally acceptable (a good rhyme)."	"coronal"	"affricate"	"catch"	"And hope to wear them as a badge \nWhat happy songs and joy we catch"	2	33	"hrlaura4_944_24_2.wav"
"27"	"602"	"badge"	"24"	"VoicedFirst"	"voice"	"AE1"	0.25	"AE1"	0.19	4	"Please rate this couplet based on how acceptable you find the rhyme at the end of the line, \n with 1=totally Unacceptable (not a rhyme at all) and 7=totally acceptable (a good rhyme)."	"coronal"	"affricate"	"catch"	"And hope to wear them as a badge \nWhat happy songs and joy we catch"	2	75	"hrlaura4_602_24_2.wav"
"28"	"1146"	"badge"	"24"	"VoicedFirst"	"voice"	"AE1"	0.31	"AE1"	0.12	1	"Please rate this couplet based on how acceptable you find the rhyme at the end of the line, \n with 1=totally Unacceptable (not a rhyme at all) and 7=totally acceptable (a good rhyme)."	"coronal"	"affricate"	"catch"	"And hope to wear them as a badge \nWhat happy songs and joy we catch"	2	46	"hrlaura4_1146_24_2.wav"
"29"	"1155"	"badge"	"24"	"VoicedFirst"	"voice"	"AE1"	0.27	"AE1"	0.18	2	"Please rate this couplet based on how acceptable you find the rhyme at the end of the line, \n with 1=totally Unacceptable (not a rhyme at all) and 7=totally acceptable (a good rhyme)."	"coronal"	"affricate"	"catch"	"And hope to wear them as a badge \nWhat happy songs and joy we catch"	2	49	"hrlaura4_1155_24_2.wav"
"30"	"1139"	"badge"	"24"	"VoicedFirst"	"voice"	"AE1"	0.29	"AE1"	0.17	4	"Please rate this couplet based on how acceptable you find the rhyme at the end of the line, with 1=totally Unacceptable (not a rhyme at all) and 7=totally acceptable (a good rhyme)."	"coronal"	"affricate"	"catch"	"And hope to wear them as a badge \nWhat happy songs and joy we catch"	2	75	"hrlaura4_1139_24_2.wav"
"31"	"1094"	"badge"	"24"	"VoicedFirst"	"voice"	"AE1"	0.25	"AE1"	0.21	4	"Please rate this couplet based on how acceptable you find the rhyme at the end of the line, \n with 1=totally Unacceptable (not a rhyme at all) and 7=totally acceptable (a good rhyme)."	"coronal"	"affricate"	"catch"	"And hope to wear them as a badge \nWhat happy songs and joy we catch"	2	18	"hrlaura4_1094_24_2.wav"
"32"	"990"	"badge"	"24"	"VoicedFirst"	"voice"	"AE1"	0.23	"AE1"	0.13	1	"Please rate this couplet based on how acceptable you find the rhyme at the end of the line, \n with 1=totally Unacceptable (not a rhyme at all) and 7=totally acceptable (a good rhyme)."	"coronal"	"affricate"	"catch"	"And hope to wear them as a badge \nWhat happy songs and joy we catch"	2	82	"hrlaura4_990_24_2.wav"
"33"	"1149"	"ball"	"86"	NA	"bad"	"AO1"	0.14	"OW1"	0.15	1	"Please rate this couplet based on how acceptable you find the rhyme at the end of the line, \n with 1=totally Unacceptable (not a rhyme at all) and 7=totally acceptable (a good rhyme)."	NA	NA	"go"	"What is the boy now, who has lost his ball \nWhat, what is he to do? I saw it go"	47	29	"hrlaura4_1149_86_2.wav"
"34"	"336"	"ball"	"86"	NA	"bad"	"AO1"	0.26	"OW1"	0.28	1	"Please rate this couplet based on how acceptable you find the rhyme at the end of the line, \n with 1=totally Unacceptable (not a rhyme at all) and 7=totally acceptable (a good rhyme)."	NA	NA	"go"	"What is the boy now, who has lost his ball \nWhat, what is he to do? I saw it go"	47	14	"hrlaura4_336_86_2.wav"
"35"	"1134"	"ball"	"86"	NA	"bad"	"AO1"	0.28	"OW1"	0.22	2	"Please rate this couplet based on how acceptable you find the rhyme at the end of the line, with 1=totally Unacceptable (not a rhyme at all) and 7=totally acceptable (a good rhyme)."	NA	NA	"go"	"What is the boy now, who has lost his ball \nWhat, what is he to do? I saw it go"	47	42	"hrlaura4_1134_86_2.wav"
"36"	"1146"	"ball"	"86"	NA	"bad"	"AO1"	0.24	"OW1"	0.3	1	"Please rate this couplet based on how acceptable you find the rhyme at the end of the line, \n with 1=totally Unacceptable (not a rhyme at all) and 7=totally acceptable (a good rhyme)."	NA	NA	"go"	"What is the boy now, who has lost his ball \nWhat, what is he to do? I saw it go"	47	33	"hrlaura4_1146_86_2.wav"
"37"	"870"	"ball"	"86"	NA	"bad"	"AO1"	0.21	"OW1"	0.21	1	"Please rate this couplet based on how acceptable you find the rhyme at the end of the line, \n with 1=totally Unacceptable (not a rhyme at all) and 7=totally acceptable (a good rhyme)."	NA	NA	"go"	"What is the boy now, who has lost his ball \nWhat, what is he to do? I saw it go"	47	28	"hrlaura4_870_86_2.wav"
"38"	"1155"	"ball"	"86"	NA	"bad"	"AO1"	0.26	"OW1"	0.23	1	"Please rate this couplet based on how acceptable you find the rhyme at the end of the line, \n with 1=totally Unacceptable (not a rhyme at all) and 7=totally acceptable (a good rhyme)."	NA	NA	"go"	"What is the boy now, who has lost his ball \nWhat, what is he to do? I saw it go"	47	13	"hrlaura4_1155_86_2.wav"
"39"	"1153"	"ball"	"86"	NA	"bad"	"AO1"	0.24	"OW1"	0.23	1	"Please rate this couplet based on how acceptable you find the rhyme at the end of the line, \n with 1=totally Unacceptable (not a rhyme at all) and 7=totally acceptable (a good rhyme)."	NA	NA	"go"	"What is the boy now, who has lost his ball \nWhat, what is he to do? I saw it go"	47	18	"hrlaura4_1153_86_2.wav"
"40"	"602"	"ball"	"86"	NA	"bad"	"AO1"	0.27	"OW1"	0.33	3	"Please rate this couplet based on how acceptable you find the rhyme at the end of the line, \n with 1=totally Unacceptable (not a rhyme at all) and 7=totally acceptable (a good rhyme)."	NA	NA	"go"	"What is the boy now, who has lost his ball \nWhat, what is he to do? I saw it go"	47	58	"hrlaura4_602_86_2.wav"
"41"	"1123"	"ball"	"86"	NA	"bad"	"AO1"	0.24	"OW1"	0.21	1	"Please rate this couplet based on how acceptable you find the rhyme at the end of the line, \n with 1=totally Unacceptable (not a rhyme at all) and 7=totally acceptable (a good rhyme)."	NA	NA	"go"	"What is the boy now, who has lost his ball \nWhat, what is he to do? I saw it go"	47	48	"hrlaura4_1123_86_2.wav"
"42"	"1139"	"ball"	"86"	NA	"bad"	"AO1"	0.14	"OW1"	0.24	1	"Please rate this couplet based on how acceptable you find the rhyme at the end of the line, with 1=totally Unacceptable (not a rhyme at all) and 7=totally acceptable (a good rhyme)."	NA	NA	"go"	"What is the boy now, who has lost his ball \nWhat, what is he to do? I saw it go"	47	68	"hrlaura4_1139_86_2.wav"
"43"	"944"	"ball"	"86"	NA	"bad"	"AO1"	0.1	"OW1"	0.11	1	"Please rate this couplet based on how acceptable you find the rhyme at the end of the line, with 1=totally Unacceptable (not a rhyme at all) and 7=totally acceptable (a good rhyme)."	NA	NA	"go"	"What is the boy now, who has lost his ball \nWhat, what is he to do? I saw it go"	47	45	"hrlaura4_944_86_2.wav"
"44"	"970"	"ball"	"86"	NA	"bad"	"AO1"	0.27	"OW1"	0.24	2	"Please rate this couplet based on how acceptable you find the rhyme at the end of the line, \n with 1=totally Unacceptable (not a rhyme at all) and 7=totally acceptable (a good rhyme)."	NA	NA	"go"	"What is the boy now, who has lost his ball \nWhat, what is he to do? I saw it go"	47	67	"hrlaura4_970_86_2.wav"
"45"	"974"	"ball"	"86"	NA	"bad"	"AO1"	0.22	"OW1"	0.34	1	"Please rate this couplet based on how acceptable you find the rhyme at the end of the line, \n with 1=totally Unacceptable (not a rhyme at all) and 7=totally acceptable (a good rhyme)."	NA	NA	"go"	"What is the boy now, who has lost his ball \nWhat, what is he to do? I saw it go"	47	16	"hrlaura4_974_86_2.wav"
"46"	"1136"	"ball"	"86"	NA	"bad"	"AO1"	0.09	"OW1"	0.22	1	"Please rate this couplet based on how acceptable you find the rhyme at the end of the line, with 1=totally Unacceptable (not a rhyme at all) and 7=totally acceptable (a good rhyme)."	NA	NA	"go"	"What is the boy now, who has lost his ball \nWhat, what is he to do? I saw it go"	47	32	"hrlaura4_1136_86_2.wav"
"47"	"1094"	"ball"	"86"	NA	"bad"	"AO1"	0.16	"OW1"	0.38	2	"Please rate this couplet based on how acceptable you find the rhyme at the end of the line, \n with 1=totally Unacceptable (not a rhyme at all) and 7=totally acceptable (a good rhyme)."	NA	NA	"go"	"What is the boy now, who has lost his ball \nWhat, what is he to do? I saw it go"	47	34	"hrlaura4_1094_86_2.wav"
"48"	"990"	"ball"	"86"	NA	"bad"	"AO1"	0.19	"OW1"	0.23	1	"Please rate this couplet based on how acceptable you find the rhyme at the end of the line, \n with 1=totally Unacceptable (not a rhyme at all) and 7=totally acceptable (a good rhyme)."	NA	NA	"go"	"What is the boy now, who has lost his ball \nWhat, what is he to do? I saw it go"	47	79	"hrlaura4_990_86_2.wav"
"49"	"1094"	"beasts"	"73"	NA	"good"	"IY1"	0.14	NA	NA	7	"Please rate this couplet based on how acceptable you find the rhyme at the end of the line, \n with 1=totally Unacceptable (not a rhyme at all) and 7=totally acceptable (a good rhyme)."	NA	NA	"feasts"	"Teasing folk, tormenting beasts, \nStealing fruit for lawless feasts"	NA	23	"hrlaura4_1094_73_1.wav"
"50"	"1153"	"beasts"	"73"	NA	"good"	"IY1"	0.17	NA	NA	7	"Please rate this couplet based on how acceptable you find the rhyme at the end of the line, \n with 1=totally Unacceptable (not a rhyme at all) and 7=totally acceptable (a good rhyme)."	NA	NA	"feasts"	"Teasing folk, tormenting beasts, \nStealing fruit for lawless feasts"	NA	36	"hrlaura4_1153_73_1.wav"
"51"	"336"	"beasts"	"73"	NA	"good"	"IY1"	0.11	NA	NA	7	"Please rate this couplet based on how acceptable you find the rhyme at the end of the line, \n with 1=totally Unacceptable (not a rhyme at all) and 7=totally acceptable (a good rhyme)."	NA	NA	"feasts"	"Teasing folk, tormenting beasts, \nStealing fruit for lawless feasts"	NA	85	"hrlaura4_336_73_1.wav"
"52"	"990"	"beasts"	"73"	NA	"good"	"IY1"	0.19	NA	NA	7	"Please rate this couplet based on how acceptable you find the rhyme at the end of the line, \n with 1=totally Unacceptable (not a rhyme at all) and 7=totally acceptable (a good rhyme)."	NA	NA	"feasts"	"Teasing folk, tormenting beasts, \nStealing fruit for lawless feasts"	NA	52	"hrlaura4_990_73_1.wav"
"53"	"1136"	"beasts"	"73"	NA	"good"	"IY1"	0.12	NA	NA	7	"Please rate this couplet based on how acceptable you find the rhyme at the end of the line, with 1=totally Unacceptable (not a rhyme at all) and 7=totally acceptable (a good rhyme)."	NA	NA	"feasts"	"Teasing folk, tormenting beasts, \nStealing fruit for lawless feasts"	NA	28	"hrlaura4_1136_73_1.wav"
"54"	"1123"	"beasts"	"73"	NA	"good"	"IY1"	0.14	NA	NA	7	"Please rate this couplet based on how acceptable you find the rhyme at the end of the line, \n with 1=totally Unacceptable (not a rhyme at all) and 7=totally acceptable (a good rhyme)."	NA	NA	"feasts"	"Teasing folk, tormenting beasts, \nStealing fruit for lawless feasts"	NA	46	"hrlaura4_1123_73_1.wav"
"55"	"974"	"beasts"	"73"	NA	"good"	"IY1"	0.14	NA	NA	7	"Please rate this couplet based on how acceptable you find the rhyme at the end of the line, \n with 1=totally Unacceptable (not a rhyme at all) and 7=totally acceptable (a good rhyme)."	NA	NA	"feasts"	"Teasing folk, tormenting beasts, \nStealing fruit for lawless feasts"	NA	49	"hrlaura4_974_73_1.wav"
"56"	"602"	"beasts"	"73"	NA	"good"	"IY1"	0.18	NA	NA	7	"Please rate this couplet based on how acceptable you find the rhyme at the end of the line, \n with 1=totally Unacceptable (not a rhyme at all) and 7=totally acceptable (a good rhyme)."	NA	NA	"feasts"	"Teasing folk, tormenting beasts, \nStealing fruit for lawless feasts"	NA	55	"hrlaura4_602_73_1.wav"
"57"	"1146"	"beasts"	"73"	NA	"good"	"IY1"	0.18	NA	NA	7	"Please rate this couplet based on how acceptable you find the rhyme at the end of the line, \n with 1=totally Unacceptable (not a rhyme at all) and 7=totally acceptable (a good rhyme)."	NA	NA	"feasts"	"Teasing folk, tormenting beasts, \nStealing fruit for lawless feasts"	NA	5	"hrlaura4_1146_73_1.wav"
"58"	"1155"	"beasts"	"73"	NA	"good"	"IY1"	0.17	NA	NA	7	"Please rate this couplet based on how acceptable you find the rhyme at the end of the line, \n with 1=totally Unacceptable (not a rhyme at all) and 7=totally acceptable (a good rhyme)."	NA	NA	"feasts"	"Teasing folk, tormenting beasts, \nStealing fruit for lawless feasts"	NA	18	"hrlaura4_1155_73_1.wav"
"59"	"870"	"beasts"	"73"	NA	"good"	"IY1"	0.12	NA	NA	5	"Please rate this couplet based on how acceptable you find the rhyme at the end of the line, \n with 1=totally Unacceptable (not a rhyme at all) and 7=totally acceptable (a good rhyme)."	NA	NA	"feasts"	"Teasing folk, tormenting beasts, \nStealing fruit for lawless feasts"	NA	71	"hrlaura4_870_73_1.wav"
"60"	"1139"	"beasts"	"73"	NA	"good"	"IY1"	0.16	NA	NA	7	"Please rate this couplet based on how acceptable you find the rhyme at the end of the line, with 1=totally Unacceptable (not a rhyme at all) and 7=totally acceptable (a good rhyme)."	NA	NA	"feasts"	"Teasing folk, tormenting beasts, \nStealing fruit for lawless feasts"	NA	32	"hrlaura4_1139_73_1.wav"
"61"	"1134"	"beasts"	"73"	NA	"good"	"IY1"	0.18	NA	NA	7	"Please rate this couplet based on how acceptable you find the rhyme at the end of the line, with 1=totally Unacceptable (not a rhyme at all) and 7=totally acceptable (a good rhyme)."	NA	NA	"feasts"	"Teasing folk, tormenting beasts, \nStealing fruit for lawless feasts"	NA	12	"hrlaura4_1134_73_1.wav"
"62"	"1149"	"beasts"	"73"	NA	"good"	"IY1"	0.15	NA	NA	7	"Please rate this couplet based on how acceptable you find the rhyme at the end of the line, \n with 1=totally Unacceptable (not a rhyme at all) and 7=totally acceptable (a good rhyme)."	NA	NA	"feasts"	"Teasing folk, tormenting beasts, \nStealing fruit for lawless feasts"	NA	38	"hrlaura4_1149_73_1.wav"
"63"	"944"	"beasts"	"73"	NA	"good"	"IY1"	0.12	NA	NA	7	"Please rate this couplet based on how acceptable you find the rhyme at the end of the line, with 1=totally Unacceptable (not a rhyme at all) and 7=totally acceptable (a good rhyme)."	NA	NA	"feasts"	"Teasing folk, tormenting beasts, \nStealing fruit for lawless feasts"	NA	2	"hrlaura4_944_73_1.wav"
"64"	"970"	"beasts"	"73"	NA	"good"	"IY1"	0.17	NA	NA	7	"Please rate this couplet based on how acceptable you find the rhyme at the end of the line, \n with 1=totally Unacceptable (not a rhyme at all) and 7=totally acceptable (a good rhyme)."	NA	NA	"feasts"	"Teasing folk, tormenting beasts, \nStealing fruit for lawless feasts"	NA	52	"hrlaura4_970_73_1.wav"
"65"	"1149"	"bog"	"10"	"VoicedFirst"	"voice"	"AA1"	0.3	"AA1"	0.1	1	"Please rate this couplet based on how acceptable you find the rhyme at the end of the line, \n with 1=totally Unacceptable (not a rhyme at all) and 7=totally acceptable (a good rhyme)."	"dorsal"	"stop"	"rock"	"The house that sits in yonder bog \nThe tree that stands above the rock"	21	10	"hrlaura4_1149_10_2.wav"
"66"	"944"	"bog"	"10"	"VoicedFirst"	"voice"	"AO1"	0.24	"AA1"	0.06	1	"Please rate this couplet based on how acceptable you find the rhyme at the end of the line, with 1=totally Unacceptable (not a rhyme at all) and 7=totally acceptable (a good rhyme)."	"dorsal"	"stop"	"rock"	"The house that sits in yonder bog \nThe tree that stands above the rock"	21	56	"hrlaura4_944_10_2.wav"
"67"	"870"	"bog"	"10"	"VoicedFirst"	"voice"	"AO1"	0.29	"AA1"	0.07	1	"Please rate this couplet based on how acceptable you find the rhyme at the end of the line, \n with 1=totally Unacceptable (not a rhyme at all) and 7=totally acceptable (a good rhyme)."	"dorsal"	"stop"	"rock"	"The house that sits in yonder bog \nThe tree that stands above the rock"	21	80	"hrlaura4_870_10_2.wav"
"68"	"1134"	"bog"	"10"	"VoicedFirst"	"voice"	"AO1"	0.32	"AA1"	0.15	2	"Please rate this couplet based on how acceptable you find the rhyme at the end of the line, with 1=totally Unacceptable (not a rhyme at all) and 7=totally acceptable (a good rhyme)."	"dorsal"	"stop"	"rock"	"The house that sits in yonder bog \nThe tree that stands above the rock"	21	5	"hrlaura4_1134_10_2.wav"
"69"	"1155"	"bog"	"10"	"VoicedFirst"	"voice"	"AO1"	0.29	"AA1"	0.16	1	"Please rate this couplet based on how acceptable you find the rhyme at the end of the line, \n with 1=totally Unacceptable (not a rhyme at all) and 7=totally acceptable (a good rhyme)."	"dorsal"	"stop"	"rock"	"The house that sits in yonder bog \nThe tree that stands above the rock"	21	17	"hrlaura4_1155_10_2.wav"
"70"	"336"	"bog"	"10"	"VoicedFirst"	"voice"	"AA1"	0.29	"AA1"	0.17	1	"Please rate this couplet based on how acceptable you find the rhyme at the end of the line, \n with 1=totally Unacceptable (not a rhyme at all) and 7=totally acceptable (a good rhyme)."	"dorsal"	"stop"	"rock"	"The house that sits in yonder bog \nThe tree that stands above the rock"	21	53	"hrlaura4_336_10_2.wav"
