id	gender	word	v	c1	c2	syldur	cdur	vdur	precbound	folbound	speechrate	fromstart	fromend	speaker	func	folacc	voic
1378_si_tu	M	si	i	s	t	134	96	38	2	-	6.50077	0	2	M11R	f	FALSE	TRUE
137_qui_peut	M	qui	i	k	p	43	43	0	1	-	8.81843	0	4	M17R	f	FALSE	FALSE
1381_si_tu	F	si	i	s	t	106	106	0	2	-	8.79228	0	2	F16L	f	FALSE	FALSE
1384_si_tu	M	si	i	s	t	124	124	0	1	-	6.85619	0	2	M17R	f	FALSE	FALSE
138_soupiré	F	soupiré	u	s	p	145	145	0	-	1	5.88389	2	2	F16R	c	FALSE	FALSE
138_tu_peux	M	tu	y	t	p	127	104	23	1	-	8.1254	0	4	M22L	f	FALSE	TRUE
1397_si_quand	F	si	i	s	k	178	178	0	1	-	6.00188	0	3	F14R	f	FALSE	FALSE
139_fumeurs	F	fumeurs	y	f	m	158	127	31	-	1	5.53168	1	1	F13R	c	TRUE	TRUE
139_qui_te	F	qui	i	k	t	82	71	11	1	-	4.87335	0	2	F12L	f	FALSE	TRUE
1408_si_tu	M	si	i	s	t	82	82	0	-	-	9.64264	1	7	M23R	f	FALSE	FALSE
1409_qui_dit	M	qui	i	k	d	98	62	36	1	-	4.78441	0	1	M21R	f	TRUE	TRUE
1410_si_tu	M	si	i	s	t	93	93	0	2	-	6.52043	0	5	M18R	f	FALSE	FALSE
141_tu_culpabilises	M	tu	y	t	k	126	74	52	-	-	8.84367	2	4	M22R	f	FALSE	TRUE
1421_qui_me	F	qui	i	k	m	60	37	23	1	-	5.67558	0	1	F07L	f	TRUE	TRUE
1430_qui_nous	F	qui	i	k	n	107	86	21	1	-	6.32103	0	3	F16R	f	FALSE	TRUE
1432_qui_peuvent	F	qui	i	k	p	143	140	3	-	-	5.62249	1	4	F06R	f	FALSE	TRUE
1439_qui_donne	M	qui	i	k	d	79	64	15	1	-	7.14184	0	6	M23R	f	FALSE	TRUE
143_possibilité	F	possibilité	i	s	b	132	119	13	-	1	7.07682	4	3	F05R	c	FALSE	TRUE
1441_qui_traînent	M	qui	i	k	t	90	25	65	1	-	5.10774	0	1	M11R	f	TRUE	TRUE
144_piqué	M	piqué	i	p	k	171	95	76	-	2	8.12185	3	1	M11R	c	TRUE	TRUE
1452_qui_pouvait	M	qui	i	k	p	78	52	26	1	-	6.31434	0	2	M19L	f	FALSE	TRUE
1454_si_tu	M	si	i	s	t	136	109	27	-	-	8.75486	1	5	M17R	f	FALSE	TRUE
145_si_tu	M	si	i	s	t	83	83	0	1	-	6.89562	0	5	M20L	f	FALSE	FALSE
1461_si_tu	F	si	i	s	t	117	94	23	1	-	6.13139	0	9	F07L	f	FALSE	TRUE
146_tu_nous	F	tu	y	t	n	99	81	18	2	-	5.45633	0	4	F06R	f	FALSE	TRUE
147_capitaine	M	capitaine	i	p	t	15	15	0	2	-	5.38801	1	3	M02R	c	FALSE	FALSE
147_tu_comprends	M	tu	y	t	k	81	62	19	2	-	7.71832	0	2	M02R	f	FALSE	TRUE
148_qui_gueulent	F	qui	i	k	g	192	147	45	1	-	5.38832	0	1	F06R	f	TRUE	TRUE
14_tu_peux	M	tu	y	t	p	67	42	25	2	-	9.45072	0	5	M02L	f	FALSE	TRUE
150_fumer	F	fumer	y	f	m	212	162	50	-	1	5.83195	1	1	F14L	c	TRUE	TRUE
150_tu_me	M	tu	y	t	m	128	95	33	1	-	5.686	0	2	M18L	f	FALSE	TRUE
151_fumer	M	fumer	y	f	m	121	121	0	-	1	7.04612	3	1	M01R	c	TRUE	FALSE
151_tu_te	F	tu	y	t	t	91	47	44	2	-	8.04191	0	3	F07R	f	FALSE	TRUE
152_soudée	M	soudée	u	s	d	173	151	22	-	2	7.5033	3	1	M15R	c	TRUE	TRUE
152_tu_ne	F	tu	y	t	n	134	112	22	2	-	6.86541	0	2	F03R	f	FALSE	TRUE
153_super	M	super	y	s	p	111	111	0	-	-	7.28299	1	2	M21L	c	FALSE	FALSE
155_qui_présentaient	M	qui	i	k	p	164	164	0	2	-	7.73558	0	3	M23L	f	FALSE	FALSE
155_soumis	M	soumis	u	s	m	171	171	0	-	2	5.74755	5	1	M23L	c	TRUE	FALSE
156_super	M	super	y	s	p	149	149	0	-	-	7.75362	2	6	M22L	c	FALSE	FALSE
157_poupées	F	poupées	u	p	p	185	185	0	-	2	6.08824	2	1	F12L	c	TRUE	FALSE
158_fumer	F	fumer	y	f	m	180	133	47	-	1	5.24987	1	1	F07L	c	TRUE	TRUE
158_tu_te	M	tu	y	t	t	74	74	0	-	-	7.41634	3	5	M01R	f	FALSE	FALSE
15_décider	F	décider	i	s	d	110	82	28	1	-	6.64216	1	4	F16R	c	FALSE	TRUE
15_tu_connais	F	tu	y	t	k	87	87	0	2	-	9.29365	0	2	F12L	f	FALSE	FALSE
161_si_tous	M	si	i	s	t	147	120	27	2	-	7.76431	0	4	M02L	f	FALSE	TRUE
161_supers	M	supers	y	s	p	141	141	0	-	-	7.21695	3	3	M19R	c	FALSE	FALSE
162_publics	F	publics	y	p	b	156	138	18	-	-	5.06148	3	1	F12L	c	TRUE	TRUE
164_tu_passes	M	tu	y	t	p	125	125	0	1	-	6.73223	0	4	M01L	f	FALSE	FALSE
166_tu_passes	F	tu	y	t	p	155	146	9	2	-	7.07898	0	2	F05R	f	FALSE	TRUE
167_tu_te	M	tu	y	t	t	87	87	0	-	-	7.80041	1	4	M18L	f	FALSE	FALSE
168_fumé	F	fumé	y	f	m	167	167	0	-	-	6.37365	2	3	F13L	c	FALSE	FALSE
169_supprime	F	supprime	y	s	p	179	145	34	-	1	6.393	2	1	F16R	c	TRUE	TRUE
16_qui_partait	F	qui	i	k	p	148	125	23	1	-	6.83081	0	3	F06R	f	FALSE	TRUE
16_super	F	super	y	s	p	166	147	19	-	-	6.49123	3	2	F06L	c	FALSE	TRUE
170_poupée	F	poupée	u	p	p	77	54	23	-	2	6.53098	1	1	F06R	c	TRUE	TRUE
171_coupé	F	coupé	u	k	p	103	93	10	-	-	7.56757	3	3	F13R	c	FALSE	TRUE
172_super	F	super	y	s	p	158	132	26	-	1	7.50254	3	1	F13L	c	TRUE	TRUE
173_assumer	M	assumer	y	s	m	113	113	0	-	-	6.19696	2	2	M19L	c	FALSE	FALSE
173_si_ma	M	si	i	s	m	179	158	21	2	-	5.74455	0	2	M20R	f	FALSE	TRUE
174_difficulté	M	difficulté	i	f	k	163	117	46	-	1	5.50513	2	2	M15R	c	FALSE	TRUE
175_si_t_	M	si	i	s	t	127	115	12	2	-	5.84906	0	2	M01L	f	FALSE	TRUE
179_pertinentes	M	pertinentes	i	t	n	67	50	17	-	2	7.82356	5	1	M21L	c	TRUE	TRUE
179_tu_peux	F	tu	y	t	p	96	96	0	2	-	6.16251	0	5	F14R	f	FALSE	FALSE
17_qui_mangent	F	qui	i	k	m	73	58	15	2	-	6.0981	0	3	F05L	f	FALSE	TRUE
180_finissent	M	finissent	i	f	n	128	128	0	-	-	8.73476	1	5	M09R	c	FALSE	FALSE
181_si_toi	F	si	i	s	t	119	119	0	2	-	7.21936	0	1	F14R	f	TRUE	FALSE
183_maximum	F	maximum	i	s	m	135	117	18	-	2	5.42351	2	1	F10R	c	TRUE	TRUE
184_considère	M	considère	i	s	d	148	110	38	-	1	7.8303	2	1	M15R	c	TRUE	TRUE
185_attitude	F	attitude	i	t	t	218	176	42	1	1	3.63495	1	1	F10L	c	TRUE	TRUE
185_tu_t_	M	tu	y	t	t	135	135	0	2	-	6.61984	0	2	M09R	f	FALSE	FALSE
186_tu_dois	M	tu	y	t	d	125	103	22	2	-	6.40769	0	2	M01R	f	FALSE	TRUE
187_critiquait	F	critiquait	i	t	k	123	105	18	-	1	8.15442	2	1	F10R	c	TRUE	TRUE
187_tu_travailles	M	tu	y	t	t	94	94	0	2	-	8.9369	0	4	M20L	f	FALSE	FALSE
188_tu_passes	M	tu	y	t	p	126	120	6	-	-	7.33375	1	4	M01L	f	FALSE	TRUE
189_cigarette	M	cigarette	i	s	g	102	102	0	-	2	8.06127	2	2	M22R	c	FALSE	FALSE
18_fumer	F	fumer	y	f	m	199	155	44	1	2	4.8198	0	1	F14R	c	TRUE	TRUE
191_tu_devais	F	tu	y	t	d	110	86	24	-	-	9.41751	1	6	F13L	f	FALSE	TRUE
192_si_tu	F	si	i	s	t	136	136	0	-	-	7.91673	3	3	F06L	f	FALSE	FALSE
193_tu_crèves	F	tu	y	t	k	73	73	0	1	-	4.75187	0	1	F13R	f	TRUE	FALSE
194_qui_préparons	F	qui	i	k	p	105	73	32	-	-	9.17642	2	3	F16L	f	FALSE	TRUE
195_tu_peux	F	tu	y	t	p	141	110	31	1	-	7.42077	0	6	F12L	f	FALSE	TRUE
197_si_tu	M	si	i	s	t	129	97	32	2	-	8.02068	0	5	M17L	f	FALSE	TRUE
198_tu_conduis	F	tu	y	t	k	80	32	48	-	-	7.15262	1	2	F03L	f	FALSE	TRUE
199_figures	F	figures	i	f	g	145	103	42	-	1	6.71026	2	1	F05R	c	TRUE	TRUE
199_tu_me	F	tu	y	t	m	52	19	33	2	-	7.98532	0	5	F16L	f	FALSE	TRUE
19_tu_peux	M	tu	y	t	p	78	78	0	2	-	7.60985	0	2	M17R	f	FALSE	FALSE
1_fini	F	fini	i	f	n	119	119	0	-	2	7.24934	2	1	F06R	c	TRUE	FALSE
1_qui_nageaient	F	qui	i	k	n	216	161	55	1	2	5.33041	0	2	F04R	f	FALSE	TRUE
200_tu_peux	F	tu	y	t	p	71	51	20	1	-	7.23005	0	5	F16R	f	FALSE	TRUE
202_continué	M	continué	i	t	n	128	128	0	-	-	7.12014	2	5	M01R	c	FALSE	FALSE
203_députés	F	députés	y	p	t	185	185	0	-	1	5.059	3	1	F14R	c	TRUE	FALSE
204_occupation	M	occupation	y	k	p	104	98	6	-	1	7.61957	7	2	M19L	c	FALSE	TRUE
204_si_quelqu_un	F	si	i	s	k	131	110	21	2	-	6.74081	0	6	F10R	f	FALSE	TRUE
208_tu_penses	F	tu	y	t	p	86	86	0	-	-	7.51448	2	1	F16R	f	TRUE	FALSE
20_cigarette	M	cigarette	i	s	g	124	111	13	-	-	7.34439	3	2	M23R	c	FALSE	TRUE
211_si_tu	F	si	i	s	t	175	135	40	2	-	6.07021	0	2	F03R	f	FALSE	TRUE
212_étudié	M	étudié	y	t	d	159	137	22	1	1	5.33149	1	1	M15R	c	TRUE	TRUE
213_tu_peux	F	tu	y	t	p	29	29	0	2	-	6.93367	0	3	F05L	f	FALSE	FALSE
214_final	M	final	i	f	n	116	116	0	-	1	7.30394	1	1	M23L	c	TRUE	FALSE
215_si_t_	M	si	i	s	t	191	146	45	2	-	5.50409	0	4	M01L	f	FALSE	TRUE
216_tu_passes	F	tu	y	t	p	110	110	0	2	-	5.00543	0	4	F06L	f	FALSE	FALSE
217_si_t_	M	si	i	s	t	159	126	33	2	-	7.20049	0	4	M11L	f	FALSE	TRUE
218_tu_peux	M	tu	y	t	p	108	108	0	2	-	8.17065	0	2	M17R	f	FALSE	FALSE
21_attitudes	F	attitudes	i	t	t	156	156	0	-	1	5.09078	4	1	F13R	c	TRUE	FALSE
21_tu_mettes	F	tu	y	t	m	81	57	24	-	-	8.12363	1	4	F13R	f	FALSE	TRUE
220_récupéré	F	récupéré	y	k	p	131	97	34	-	1	7.67745	2	2	F12R	c	FALSE	TRUE
223_superficielle	M	superficielle	y	s	p	96	75	21	-	2	6.87794	2	3	M15L	c	FALSE	TRUE
223_tu_t_	M	tu	y	t	t	61	61	0	1	-	9.72608	0	9	M17R	f	FALSE	FALSE
224_étudiante	M	étudiante	y	t	d	160	135	25	1	1	4.96204	1	1	M09L	c	TRUE	TRUE
225_cigarette	M	cigarette	i	s	g	124	124	0	-	1	6.94621	1	2	M21R	c	FALSE	FALSE
226_tu_peux	M	tu	y	t	p	117	117	0	2	-	6.29312	0	2	M02R	f	FALSE	FALSE
227_soutenue	M	soutenue	u	s	t	119	101	18	-	2	8.14575	4	1	M11L	c	TRUE	TRUE
228_tu_peux	F	tu	y	t	p	90	90	0	-	-	8.22364	1	5	F07R	f	FALSE	FALSE
229_tu_te	F	tu	y	t	t	59	31	28	2	-	5.23425	0	2	F03L	f	FALSE	TRUE
22_non-fumeur	M	non-fumeur	y	f	m	127	127	0	-	2	5.7923	3	1	M23R	c	TRUE	FALSE
230_si_tu	M	si	i	s	t	57	57	0	2	-	8.94152	0	3	M20R	f	FALSE	FALSE
231_tu_penses	M	tu	y	t	p	106	106	0	1	-	7.12966	0	3	M21L	f	FALSE	FALSE
233_tu_perds	F	tu	y	t	p	115	110	5	2	-	6.95422	0	3	F03L	f	FALSE	TRUE
234_tu_mets	F	tu	y	t	m	76	68	8	1	-	5.51691	0	3	F12L	f	FALSE	TRUE
235_tuteurs	F	tuteurs	y	t	t	139	139	0	-	2	5.22949	1	1	F10L	c	TRUE	FALSE
237_fixer	M	fixer	i	f	k	227	177	50	1	1	3.98054	0	1	M20L	c	TRUE	TRUE
239_public	M	public	y	p	b	156	114	42	-	2	5.95813	1	1	M01R	c	TRUE	TRUE
239_tu_peux	F	tu	y	t	p	80	52	28	2	-	7.78781	0	2	F12L	f	FALSE	TRUE
23_supporters	M	supporters	y	s	p	122	108	14	-	-	6.56723	3	2	M23L	c	FALSE	TRUE
240_confiné	M	confiné	i	f	n	170	128	42	-	2	5.9557	2	1	M19R	c	TRUE	TRUE
241_psychologique	F	psychologique	i	s	k	118	118	0	-	-	9.12759	3	5	F07L	c	FALSE	FALSE
241_tu_peux	F	tu	y	t	p	68	68	0	1	-	8.38426	0	4	F12L	f	FALSE	FALSE
243_supporters	M	supporters	y	s	p	97	97	0	-	-	6.05705	1	4	M23L	c	FALSE	FALSE
243_tu_préfères	F	tu	y	t	p	121	81	40	-	-	4.83644	1	2	F03R	f	FALSE	TRUE
245_cigarettes	F	cigarettes	i	s	g	136	109	27	-	2	7.51964	3	2	F05L	c	FALSE	TRUE
246_si_tout	F	si	i	s	t	104	104	0	2	-	5.72064	0	3	F05L	f	FALSE	FALSE
249_soutien	M	soutien	u	s	t	133	133	0	-	2	6.29137	3	2	M02L	c	FALSE	FALSE
24_récupéré	M	récupéré	y	k	p	159	131	28	-	1	6.61464	4	2	M15R	c	FALSE	TRUE
24_si_t_	F	si	i	s	t	99	69	30	2	-	7.81769	0	7	F03L	f	FALSE	TRUE
250_tu_pousserais	F	tu	y	t	p	111	90	21	2	-	7.74934	0	2	F16L	f	FALSE	TRUE
253_qui_mordent	F	qui	i	k	m	150	136	14	-	-	4.68047	2	1	F03R	f	TRUE	TRUE
255_tu_me	M	tu	y	t	m	87	65	22	-	-	6.34538	1	4	M18R	f	FALSE	TRUE
256_tu_te	M	tu	y	t	t	115	115	0	2	-	5.73718	0	1	M18L	f	TRUE	FALSE
258_tu_préfères	F	tu	y	t	p	81	64	17	2	-	6.71631	0	7	F08L	f	FALSE	TRUE
259_centimètres	F	centimètres	i	t	m	130	78	52	-	2	5.31484	2	1	F03L	c	TRUE	TRUE
25_fumer	F	fumer	y	f	m	161	129	32	-	2	7.42478	5	2	F12R	c	FALSE	TRUE
260_tu_peux	F	tu	y	t	p	111	111	0	2	-	6.13023	0	6	F07L	f	FALSE	FALSE
261_supporters	M	supporters	y	s	p	113	113	0	-	-	7.19105	1	5	M23L	c	FALSE	FALSE
261_tu_te	F	tu	y	t	t	116	83	33	-	-	5.98058	4	2	F05L	f	FALSE	TRUE
262_tu_payes	M	tu	y	t	p	54	54	0	2	-	8.22423	0	2	M18L	f	FALSE	FALSE
269_tu_te	M	tu	y	t	t	114	114	0	-	-	6.48655	1	6	M01R	f	FALSE	FALSE
26_tu_t_	M	tu	y	t	t	100	83	17	2	-	5.80077	0	2	M23L	f	FALSE	TRUE
271_tu_pars	F	tu	y	t	p	50	50	0	2	-	9.28804	0	4	F13L	f	FALSE	FALSE
272_qui_par	M	qui	i	k	p	86	86	0	1	-	6.75885	0	2	M21L	f	FALSE	FALSE
273_si_t_	M	si	i	s	t	138	114	24	2	-	6.57815	0	5	M01L	f	FALSE	TRUE
273_soutien	M	soutien	u	s	t	151	132	19	-	1	4.88918	1	1	M15R	c	TRUE	TRUE
275_tu_peux	F	tu	y	t	p	133	115	18	2	-	8.43043	0	3	F05R	f	FALSE	TRUE
276_tu_te	F	tu	y	t	t	92	64	28	2	-	8.83319	0	3	F07L	f	FALSE	TRUE
279_critiquait	F	critiquait	i	t	k	106	76	30	-	2	8.36265	3	1	F10R	c	TRUE	TRUE
27_titi	M	titi	i	t	t	170	129	41	-	2	6.00372	2	1	M02R	c	TRUE	TRUE
280_situation	M	situation	i	s	t	137	126	11	-	1	5.5533	3	2	M21R	c	FALSE	TRUE
282_étudiants	F	étudiants	y	t	d	139	124	15	-	2	7.63761	4	1	F12L	c	TRUE	TRUE
283_qui_tu	M	qui	i	k	t	70	65	5	-	-	7.80494	2	2	M23L	f	FALSE	TRUE
284_cigarette	M	cigarette	i	s	g	86	86	0	-	2	6.25643	2	1	M11R	c	TRUE	FALSE
286_occuper	F	occuper	y	k	p	99	64	35	1	-	8.61148	1	2	F16L	c	FALSE	TRUE
289_fixer	M	fixer	i	f	k	102	81	21	-	-	7.22385	2	3	M09R	c	FALSE	TRUE
289_si_tous	M	si	i	s	t	147	130	17	2	-	7.71807	0	3	M23L	f	FALSE	TRUE
28_qui_t_	M	qui	i	k	t	145	145	0	1	-	7.0264	0	2	M17R	f	FALSE	FALSE
290_tu_te	M	tu	y	t	t	142	142	0	2	-	7.36277	0	1	M02R	f	TRUE	FALSE
291_qui_nous	F	qui	i	k	n	66	66	0	1	-	6.76624	0	4	F06L	f	FALSE	FALSE
293_considéré	M	considéré	i	s	d	131	99	32	-	1	9.5864	6	2	M19L	c	FALSE	TRUE
295_continuation	M	continuation	i	t	n	114	82	32	-	-	5.77866	6	4	M09L	c	FALSE	TRUE
296_qui_devait	M	qui	i	k	d	54	54	0	1	-	7.17639	0	3	M11R	f	FALSE	FALSE
299_qui_correspondait	M	qui	i	k	k	92	92	0	1	-	7.07914	0	4	M19L	f	FALSE	FALSE
